,date,user,location,hashtags,urls,text
1017,2020-05-04 18:31:08,woody56791977,,[],[],This is all the NYPD enforce social distance and stay at home policy’s. If you blacks Instant Police repression. If you’re white or Jewish you can break the policies and we will treat you with dignity.#BlackTwitter .#BlackLivesMatter . https://t.co/SWFk75qkAS
1018,2020-05-04 18:13:27,xeemalyk19,,['BlackTwitter'],[],"Don’t ask what love can make or do!
Look at the colors of the world. 
Rumi
#BlackTwitter 
1. Antalya, Turkey 3 yrs back
2. China 2 yrs back
3. Karachi, this year https://t.co/MDb2Vi6Ulj"
1019,2020-05-04 18:08:34,lanaspeaksnyc,"Brooklyn, NY","['mondaythoughts', 'BlackTwitter', 'ASTRO', 'TruthBeTold', 'MedTwitter', 'meditation']",[],"happy mediation mondayyyy!!!! read a book, sit in silence, do yoga or just relax. all you need is 5 minutes!
#mondaythoughts #BlackTwitter #ASTRO #TruthBeTold #MedTwitter #meditation https://t.co/UQvYdjM3lv"
1020,2020-05-04 18:02:07,KDParis1,Worldwide ,"['BlackMinds', 'BlackTwitter']",[],#BlackMinds are the Audience that concerns me and #BlackTwitter will get the Message at some point.  Drop it like it’s HOT. Are you Speaking from the Heart for the People or Speaking At the People with an Agenda
1021,2020-05-04 17:55:13,CubanxEase,"DC, Colombia",[],[],This is all the NYPD enforce social distance and stay at home policy’s. If you blacks Instant Police repression. If you’re white or Jewish you can break the policies and we will treat you with dignity.#BlackTwitter .#BlackLivesMatter . https://t.co/SWFk75qkAS
1022,2020-05-04 17:54:38,Amin001Kashif,"Peshawar, Pakistan",['BlackTwitter'],[],#BlackTwitter ye louh Or Kuch ??? https://t.co/EKDr42UKNa
1023,2020-05-04 17:37:23,soyveganburger,,"['blacktwitter', 'boyslockerroom', 'MayThe4th']",[],#blacktwitter #boyslockerroom #MayThe4th  can y’all please put these people in their place? @/th1rn and @/the_last_hoodbender23 on instagram? i’m pretty sure 2nd @ is just a meme page or sum but the first one 🤢🤢 https://t.co/quYWcgksaf
1024,2020-05-04 17:35:23,ClermonInspires,Follow me IG:Clermoninspires,"['DonLemon', 'whiteprivilege', 'PresidentBarackObama', 'firstgen', 'BlackTwitter', 'FirstGeneration']",[],"#DonLemon words reminds me of ""We work twice as Hard and still don't get acknowledge for our accomplishments"" it's viewed as "" Good for you"" or ""How did you get in"" #whiteprivilege  #PresidentBarackObama #firstgen #BlackTwitter #FirstGeneration"
1025,2020-05-04 17:26:55,ericdavis221,,[],[],This is all the NYPD enforce social distance and stay at home policy’s. If you blacks Instant Police repression. If you’re white or Jewish you can break the policies and we will treat you with dignity.#BlackTwitter .#BlackLivesMatter . https://t.co/SWFk75qkAS
1026,2020-05-04 17:25:32,Mi9htyMohamm3d,,[],[],This is all the NYPD enforce social distance and stay at home policy’s. If you blacks Instant Police repression. If you’re white or Jewish you can break the policies and we will treat you with dignity.#BlackTwitter .#BlackLivesMatter . https://t.co/SWFk75qkAS
1027,2020-05-04 17:24:35,dijoni,,"['BlackTwitter', 'BlackLivesMatter']",[],This is all the NYPD enforce social distance and stay at home policy’s. If you blacks Instant Police repression. If you’re white or Jewish you can break the policies and we will treat you with dignity.#BlackTwitter .#BlackLivesMatter . https://t.co/SWFk75qkAS
1028,2020-05-04 16:14:23,tkministries7,"Philadelphia, PA","['biblechallenge', 'bibleverses', 'blacktwitter']",[],"To enter: Watch our latest video in its entirety ( link in bio. or search Rhoades24eva). Leave a comment to let us know your biggest takeaway &amp; why you deserve to win
Closes at 11:59pm EST on Thursday, May 7th #biblechallenge #bibleverses #blacktwitter https://t.co/bav8qXDMii"
